label / lang,en,es,fr,ja,ko,pt,ar
@toastMessageRecordFailedToRegistWeight,"{""description"": ""몸무게 기록 실패 토스트 메시지""}","{""description"": ""몸무게 기록 실패 토스트 메시지""}","{""description"": ""몸무게 기록 실패 토스트 메시지""}","{""description"": ""몸무게 기록 실패 토스트 메시지""}","{""description"": ""몸무게 기록 실패 토스트 메시지""}","{""description"": ""몸무게 기록 실패 토스트 메시지""}","{""description"": ""몸무게 기록 실패 토스트 메시지""}"
toastMessageRecordFailedToEditWeight,Failed to edit weight record,Error al editar el peso,Échec de la modification du poids,体重の編集に失敗しました,몸무게를 수정하는데 실패했어요,Falha ao editar peso,فشل في تعديل سجل الوزن
@toastMessageRecordFailedToEditWeight,"{""description"": ""몸무게 수정 실패 토스트 메시지""}","{""description"": ""몸무게 수정 실패 토스트 메시지""}","{""description"": ""몸무게 수정 실패 토스트 메시지""}","{""description"": ""몸무게 수정 실패 토스트 메시지""}","{""description"": ""몸무게 수정 실패 토스트 메시지""}","{""description"": ""몸무게 수정 실패 토스트 메시지""}","{""description"": ""몸무게 수정 실패 토스트 메시지""}"
toastMessageRecordSuccessToRegistWeight,Successfully registered weight record,Peso registrado,Poids enregistré,体重を記録しました,몸무게를 성공적으로 기록했어요,Peso registrado,تم تسجيل الوزن بنجاح
@toastMessageRecordSuccessToRegistWeight,"{""description"": ""몸무게 기록 성공 토스트 메시지""}","{""description"": ""몸무게 기록 성공 토스트 메시지""}","{""description"": ""몸무게 기록 성공 토스트 메시지""}","{""description"": ""몸무게 기록 성공 토스트 메시지""}","{""description"": ""몸무게 기록 성공 토스트 메시지""}","{""description"": ""몸무게 기록 성공 토스트 메시지""}","{""description"": ""몸무게 기록 성공 토스트 메시지""}"
toastMessageRecordSuccessToSaveRecord,Weight record saved successfully,Registro de peso guardado,Données de poids sauvegardées,体重記録を保存しました,몸무게 기록을 저장했어요,Registro de peso salvo,تم حفظ سجل الوزن بنجاح
@toastMessageRecordSuccessToSaveRecord,"{""description"": ""몸무게 기록 저장 성공 토스트 메시지""}","{""description"": ""몸무게 기록 저장 성공 토스트 메시지""}","{""description"": ""몸무게 기록 저장 성공 토스트 메시지""}","{""description"": ""몸무게 기록 저장 성공 토스트 메시지""}","{""description"": ""몸무게 기록 저장 성공 토스트 메시지""}","{""description"": ""몸무게 기록 저장 성공 토스트 메시지""}","{""description"": ""몸무게 기록 저장 성공 토스트 메시지""}"
toastMessageRecordFailedToSaveRecord,Failed to save weight record,Error al guardar el registro de peso,Échec de la sauvegarde des données de poids,体重記録の保存に失敗しました,몸무게 기록 저장에 실패했어요,Falha ao salvar registro de peso,فشل في حفظ سجل الوزن
@toastMessageRecordFailedToSaveRecord,"{""description"": ""몸무게 기록 저장 실패 토스트 메시지""}","{""description"": ""몸무게 기록 저장 실패 토스트 메시지""}","{""description"": ""몸무게 기록 저장 실패 토스트 메시지""}","{""description"": ""몸무게 기록 저장 실패 토스트 메시지""}","{""description"": ""몸무게 기록 저장 실패 토스트 메시지""}","{""description"": ""몸무게 기록 저장 실패 토스트 메시지""}","{""description"": ""몸무게 기록 저장 실패 토스트 메시지""}"
toastMessageRecordSuccessToDeleteRecord,Weight record deleted successfully,Registro de peso eliminado,Données de poids supprimées,体重記録を削除しました,몸무게 기록을 삭제했어요,Registro de peso excluído,تم حذف سجل الوزن بنجاح
@toastMessageRecordSuccessToDeleteRecord,"{""description"": ""몸무게 기록 삭제 성공 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 성공 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 성공 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 성공 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 성공 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 성공 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 성공 토스트 메시지""}"
toastMessageRecordFailedToDeleteRecord,Failed to delete weight record,Error al eliminar el registro de peso,Échec de la suppression des données de poids,体重記録の削除に失敗しました,몸무게 삭제에 실패했어요,Falha ao excluir registro de peso,فشل في حذف سجل الوزن
@toastMessageRecordFailedToDeleteRecord,"{""description"": ""몸무게 기록 삭제 실패 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 실패 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 실패 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 실패 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 실패 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 실패 토스트 메시지""}","{""description"": ""몸무게 기록 삭제 실패 토스트 메시지""}"
toastMessageRecordEnterCorrectFormat,Please enter in the correct format,Ingrese el formato correcto,Veuillez entrer le format correct,正しい形式で入力してください,형식에 맞게 입력해주세요,Insira o formato correto,يرجى إدخال التنسيق الصحيح
@toastMessageRecordEnterCorrectFormat,"{""description"": ""형식에 맞게 입력해주세요 토스트 메시지""}","{""description"": ""형식에 맞게 입력해주세요 토스트 메시지""}","{""description"": ""형식에 맞게 입력해주세요 토스트 메시지""}","{""description"": ""형식에 맞게 입력해주세요 토스트 메시지""}","{""description"": ""형식에 맞게 입력해주세요 토스트 메시지""}","{""description"": ""형식에 맞게 입력해주세요 토스트 메시지""}","{""description"": ""형식에 맞게 입력해주세요 토스트 메시지""}"
toastMessageRecordSuccessToSaveAttachment,Note saved successfully,Nota guardada,Note enregistrée,メモを保存しました,노트를 저장했어요,Nota salva,تم حفظ الملاحظة بنجاح
@toastMessageRecordSuccessToSaveAttachment,"{""description"": ""노트 저장 성공 토스트 메시지""}","{""description"": ""노트 저장 성공 토스트 메시지""}","{""description"": ""노트 저장 성공 토스트 메시지""}","{""description"": ""노트 저장 성공 토스트 메시지""}","{""description"": ""노트 저장 성공 토스트 메시지""}","{""description"": ""노트 저장 성공 토스트 메시지""}","{""description"": ""노트 저장 성공 토스트 메시지""}"
toastMessageRecordFailedToSaveAttachment,Failed to save note,Error al guardar la nota,Échec de l'enregistrement de la note,メモの保存に失敗しました,노트 저장에 실패했어요,Falha ao salvar nota,فشل في حفظ الملاحظة
@toastMessageRecordFailedToSaveAttachment,"{""description"": ""노트 저장 실패 토스트 메시지""}","{""description"": ""노트 저장 실패 토스트 메시지""}","{""description"": ""노트 저장 실패 토스트 메시지""}","{""description"": ""노트 저장 실패 토스트 메시지""}","{""description"": ""노트 저장 실패 토스트 메시지""}","{""description"": ""노트 저장 실패 토스트 메시지""}","{""description"": ""노트 저장 실패 토스트 메시지""}"
toastMessageRecordSuccessToDeleteAttachment,Note deleted successfully,Nota eliminada,Note supprimée,メモを削除しました,노트를 삭제했어요,Nota excluída,تم حذف الملاحظة بنجاح
@toastMessageRecordSuccessToDeleteAttachment,"{""description"": ""노트 삭제 성공 토스트 메시지""}","{""description"": ""노트 삭제 성공 토스트 메시지""}","{""description"": ""노트 삭제 성공 토스트 메시지""}","{""description"": ""노트 삭제 성공 토스트 메시지""}","{""description"": ""노트 삭제 성공 토스트 메시지""}","{""description"": ""노트 삭제 성공 토스트 메시지""}","{""description"": ""노트 삭제 성공 토스트 메시지""}"
toastMessageRecordFailedToDeleteAttachment,Failed to delete note,Error al eliminar la nota,Échec de la suppression de la note,メモの削除に失敗しました,노트를 삭제하는데 실패했어요,Falha ao excluir nota,فشل في حذف الملاحظة
@toastMessageRecordFailedToDeleteAttachment,"{""description"": ""노트 삭제 실패 토스트 메시지""}","{""description"": ""노트 삭제 실패 토스트 메시지""}","{""description"": ""노트 삭제 실패 토스트 메시지""}","{""description"": ""노트 삭제 실패 토스트 메시지""}","{""description"": ""노트 삭제 실패 토스트 메시지""}","{""description"": ""노트 삭제 실패 토스트 메시지""}","{""description"": ""노트 삭제 실패 토스트 메시지""}"
buttonCalendarHeaderToday,Today,Hoy,Aujourd'hui,今日,오늘,Hoje,اليوم
@buttonCalendarHeaderToday,"{""description"": ""달력 헤더 오늘 버튼 라벨""}","{""description"": ""달력 헤더 오늘 버튼 라벨""}","{""description"": ""달력 헤더 오늘 버튼 라벨""}","{""description"": ""달력 헤더 오늘 버튼 라벨""}","{""description"": ""달력 헤더 오늘 버튼 라벨""}","{""description"": ""달력 헤더 오늘 버튼 라벨""}","{""description"": ""달력 헤더 오늘 버튼 라벨""}"
contentStatisticsSincePrevious,Compared to last,Comparado con el anterior,Comparé au dernier,前回の記録と比較して,지난 기록 대비,Comparado com o anterior,منذ التسجيل الأخير
@contentStatisticsSincePrevious,"{""description"": ""지난 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""지난 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""지난 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""지난 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""지난 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""지난 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""지난 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}"
contentStatisticsSinceFirst,Since the beginning,Comparado con el inicial,Comparé au début,初回記録と比較して,최초 기록 대비,Comparado com o inicial,منذ التسجيل الأول
@contentStatisticsSinceFirst,"{""description"": ""최초 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""최초 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""최초 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""최초 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""최초 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""최초 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}","{""description"": ""최초 기록 대비 30kg 더 많아요, 더 적어요 등 표시""}"
labelStatisticsWeightDiff,Weight Difference,Diferencia de peso,Différence de poids,体重変化,체중 변화,Diferença de peso,اختلاف الوزن
@labelStatisticsWeightDiff,"{""description"": ""통계 화면 체중 변화 라벨""}","{""description"": ""통계 화면 체중 변화 라벨""}","{""description"": ""통계 화면 체중 변화 라벨""}","{""description"": ""통계 화면 체중 변화 라벨""}","{""description"": ""통계 화면 체중 변화 라벨""}","{""description"": ""통계 화면 체중 변화 라벨""}","{""description"": ""통계 화면 체중 변화 라벨""}"
labelTabStatisticsDaily,Daily,Diario,Quotidien,日次,일일,Diário,يومي
@labelTabStatisticsDaily,"{""description"": ""통계 화면 일일 탭 라벨""}","{""description"": ""통계 화면 일일 탭 라벨""}","{""description"": ""통계 화면 일일 탭 라벨""}","{""description"": ""통계 화면 일일 탭 라벨""}","{""description"": ""통계 화면 일일 탭 라벨""}","{""description"": ""통계 화면 일일 탭 라벨""}","{""description"": ""통계 화면 일일 탭 라벨""}"
labelTabStatisticsWeekly,Weekly,Semanal,Hebdomadaire,週次,주간,Semanal,أسبوعي
@labelTabStatisticsWeekly,"{""description"": ""통계 화면 주간 탭 라벨""}","{""description"": ""통계 화면 주간 탭 라벨""}","{""description"": ""통계 화면 주간 탭 라벨""}","{""description"": ""통계 화면 주간 탭 라벨""}","{""description"": ""통계 화면 주간 탭 라벨""}","{""description"": ""통계 화면 주간 탭 라벨""}","{""description"": ""통계 화면 주간 탭 라벨""}"
labelTabStatisticsMonthly,Monthly,Mensual,Mensuel,月次,월간,Mensal,شهري
@labelTabStatisticsMonthly,"{""description"": ""통계 화면 월간 탭 라벨""}","{""description"": ""통계 화면 월간 탭 라벨""}","{""description"": ""통계 화면 월간 탭 라벨""}","{""description"": ""통계 화면 월간 탭 라벨""}","{""description"": ""통계 화면 월간 탭 라벨""}","{""description"": ""통계 화면 월간 탭 라벨""}","{""description"": ""통계 화면 월간 탭 라벨""}"
labelSettingHeight,Enter Height,Introducir altura,Saisir la taille,身長設定,키 설정,Introduzir Altura,تحديد الطول
@labelSettingHeight,"{""description"": ""설정 화면 키 설정 라벨""}","{""description"": ""설정 화면 키 설정 라벨""}","{""description"": ""설정 화면 키 설정 라벨""}","{""description"": ""설정 화면 키 설정 라벨""}","{""description"": ""설정 화면 키 설정 라벨""}","{""description"": ""설정 화면 키 설정 라벨""}","{""description"": ""설정 화면 키 설정 라벨""}"
labelSettingResetData,Reset Data,Restablecer los datos,Réinitialiser les données,データをリセット,데이터 초기화,Redefinir Dados,إعادة تعيين جميع البيانات
@labelSettingResetData,"{""description"": ""설정 화면 데이터 초기화 라벨""}","{""description"": ""설정 화면 데이터 초기화 라벨""}","{""description"": ""설정 화면 데이터 초기화 라벨""}","{""description"": ""설정 화면 데이터 초기화 라벨""}","{""description"": ""설정 화면 데이터 초기화 라벨""}","{""description"": ""설정 화면 데이터 초기화 라벨""}","{""description"": ""설정 화면 데이터 초기화 라벨""}"
headerSettingHeightDialog,Enter Height,Introducir altura,Saisir la taille,身長設定,키 설정,Introduzir Altura,تحديد الطول
@headerSettingHeightDialog,"{""description"": ""키 설정 다이얼로그 타이틀""}","{""description"": ""키 설정 다이얼로그 타이틀""}","{""description"": ""키 설정 다이얼로그 타이틀""}","{""description"": ""키 설정 다이얼로그 타이틀""}","{""description"": ""키 설정 다이얼로그 타이틀""}","{""description"": ""키 설정 다이얼로그 타이틀""}","{""description"": ""키 설정 다이얼로그 타이틀""}"
headerSettingResetDataDialog,Reset,Restablecer,Réinitialiser,リセット,초기화,Redefinir,إعادة تعيين
@headerSettingResetDataDialog,"{""description"": ""데이터 초기화 다이얼로그 타이틀""}","{""description"": ""데이터 초기화 다이얼로그 타이틀""}","{""description"": ""데이터 초기화 다이얼로그 타이틀""}","{""description"": ""데이터 초기화 다이얼로그 타이틀""}","{""description"": ""데이터 초기화 다이얼로그 타이틀""}","{""description"": ""데이터 초기화 다이얼로그 타이틀""}","{""description"": ""데이터 초기화 다이얼로그 타이틀""}"
contentResetDataDialog,Do you want to delete all records?,¿Desea eliminar todos los registros?,Voulez-vous vraiment supprimer tous les enregistrements ?,本当にすべてのデータを削除しますか？,정말로 모든 데이터를 삭제하실건가요?,Deseja realmente excluir todos os registros?,هل تريد حقًا حذف جميع السجلات؟
@contentResetDataDialog,"{""description"": ""정말로 모든 데이터를 삭제하실건가요? 다이얼로그 내용""}","{""description"": ""정말로 모든 데이터를 삭제하실건가요? 다이얼로그 내용""}","{""description"": ""정말로 모든 데이터를 삭제하실건가요? 다이얼로그 내용""}","{""description"": ""정말로 모든 데이터를 삭제하실건가요? 다이얼로그 내용""}","{""description"": ""정말로 모든 데이터를 삭제하실건가요? 다이얼로그 내용""}","{""description"": ""정말로 모든 데이터를 삭제하실건가요? 다이얼로그 내용""}","{""description"": ""정말로 모든 데이터를 삭제하실건가요? 다이얼로그 내용""}"
labelResetDataDialogReset,Delete,Eliminar,Supprimer,削除,삭제,Excluir,حذف
@labelResetDataDialogReset,"{""description"": ""삭제 버튼 라벨""}","{""description"": ""삭제 버튼 라벨""}","{""description"": ""삭제 버튼 라벨""}","{""description"": ""삭제 버튼 라벨""}","{""description"": ""삭제 버튼 라벨""}","{""description"": ""삭제 버튼 라벨""}","{""description"": ""삭제 버튼 라벨""}"
toastMessageSettingFailedToLoadHeight,Failed to load height,Error al cargar la altura,Échec du chargement de la taille,身長の読み込みに失敗しました,키를 불러오는데 실패했어요,Falha ao carregar altura,فشل في تحميل الطول
@toastMessageSettingFailedToLoadHeight,"{""description"": ""키 불러오기 실패 토스트 메시지""}","{""description"": ""키 불러오기 실패 토스트 메시지""}","{""description"": ""키 불러오기 실패 토스트 메시지""}","{""description"": ""키 불러오기 실패 토스트 메시지""}","{""description"": ""키 불러오기 실패 토스트 메시지""}","{""description"": ""키 불러오기 실패 토스트 메시지""}","{""description"": ""키 불러오기 실패 토스트 메시지""}"
toastMessageSettingSuccessToSetHeight,Height registered successfully,Altura registrada,Taille enregistrée,身長を設定しました,키를 등록했어요,Altura registrada,تم تسجيل الطول بنجاح
@toastMessageSettingSuccessToSetHeight,"{""description"": ""키 등록 성공 토스트 메시지""}","{""description"": ""키 등록 성공 토스트 메시지""}","{""description"": ""키 등록 성공 토스트 메시지""}","{""description"": ""키 등록 성공 토스트 메시지""}","{""description"": ""키 등록 성공 토스트 메시지""}","{""description"": ""키 등록 성공 토스트 메시지""}","{""description"": ""키 등록 성공 토스트 메시지""}"
toastMessageSettingFailedToSetHeight,Failed to register height,Error al registrar la altura,Échec de l'enregistrement de la taille,身長の設定に失敗しました,키를 등록하는데 실패했어요,Falha ao registrar altura,فشل في تسجيل الطول
@toastMessageSettingFailedToSetHeight,"{""description"": ""키 등록 실패 토스트 메시지""}","{""description"": ""키 등록 실패 토스트 메시지""}","{""description"": ""키 등록 실패 토스트 메시지""}","{""description"": ""키 등록 실패 토스트 메시지""}","{""description"": ""키 등록 실패 토스트 메시지""}","{""description"": ""키 등록 실패 토스트 메시지""}","{""description"": ""키 등록 실패 토스트 메시지""}"
toastMessageSettingFailedToEditHeight,Failed to edit height,Error al editar la altura,Échec de la modification de la taille,身長の編集に失敗しました,키를 수정하는데 실패했어요,Falha ao editar altura,فشل في تعديل الطول
@toastMessageSettingFailedToEditHeight,"{""description"": ""키 수정 실패 토스트 메시지""}","{""description"": ""키 수정 실패 토스트 메시지""}","{""description"": ""키 수정 실패 토스트 메시지""}","{""description"": ""키 수정 실패 토스트 메시지""}","{""description"": ""키 수정 실패 토스트 메시지""}","{""description"": ""키 수정 실패 토스트 메시지""}","{""description"": ""키 수정 실패 토스트 메시지""}"
toastMessageSettingSuccessToEditHeight,Height updated successfully,Altura editada,Taille modifiée,身長を編集しました,키를 수정했어요,Altura editada,تم تعديل الطول بنجاح
@toastMessageSettingSuccessToEditHeight,"{""description"": ""키 수정 성공 토스트 메시지""}","{""description"": ""키 수정 성공 토스트 메시지""}","{""description"": ""키 수정 성공 토스트 메시지""}","{""description"": ""키 수정 성공 토스트 메시지""}","{""description"": ""키 수정 성공 토스트 메시지""}","{""description"": ""키 수정 성공 토스트 메시지""}","{""description"": ""키 수정 성공 토스트 메시지""}"
toastMessageSettingSuccessToResetData,Data reset successfully,Datos restablecidos,Données réinitialisées,データをリセットしました,데이터를 초기화했어요,Dados redefinidos,تم إعادة تعيين البيانات بنجاح
